run_id,geometry,subdivisions,frequency_hz,mode,aca_tolerance,near_rings,cache_policy,cache_capacity,build_passes,replicate,suites,solution_dofs,mesh_nodes,mesh_elements,characteristic_kh,return_code,converged,operator_build_seconds,operator_build_pass1_seconds,operator_build_pass2_seconds,assembly_equivalent_seconds,gmres_seconds,internal_total_seconds,external_wall_seconds,peak_rss_gib,average_effective_cores,hmatrix_gib,cache_estimated_gib,cache_hit_rate,cache_evictions,base_evaluations,entry_requests,near_correction_entries,near_correction_seconds,gmres_iterations,gmres_relative_residual,radiation_efficiency,theory_efficiency,efficiency_error_percent,sound_power_w,theory_power_w,power_error_percent,surface_pressure_rms_pa,surface_pressure_relative_l2_error,online_energy_balance_error_percent,V_mean_rank,V_max_rank,V_bytes,V_entry_queries,K_mean_rank,K_max_rank,K_bytes,K_entry_queries,W_mean_rank,W_max_rank,W_bytes,W_entry_queries,field1_abs_pa,field1_phase_deg,field1_theory_abs_pa,field1_theory_phase_deg,field1_amplitude_error_percent,field1_phase_error_deg
sphere_n28_f3000_independent_tol1em03_near1_full_pass1_rep1_a6ec2013e589,sphere,28,3000,independent,0.001,1,full,0,1,1,aca_tolerance,14118,4706,4704,0.2839296776197667,0,True,16.4946871,16.4946871,,16.8761661,2.6106216,19.6122626,21.107337599999937,0.8389053344726562,13.976851055009456,0.2439823895692825,0.49648517370224,0.030325580759218,0,15881412,16378087,117506,0.3430794,112,5.988304581868484e-08,0.9671854953846352,0.9679492225011324,-0.078901568258277,25.22139673147179,25.24131252290133,-0.0789015682582823,408.3261104528043,0.0008196948862035,0.3953526681410782,7.525494672754947,14,86026256,5376641,7.369482496194825,14,85629632,5351852,8.353500761035008,13,90318208,5644888,20.45283397827467,147.68612451128226,20.416240940246528,147.805819831374,0.1792349440587012,-0.1196953200917505
sphere_n28_f3000_independent_tol1em04_near1_full_pass1_rep1_8956452311b1,sphere,28,3000,independent,0.0001,1,full,0,1,1,scaling;geometry;frequency_anchor;aca_tolerance,14118,4706,4704,0.2839296776197667,0,True,19.7799008,19.7799008,,20.1769016,4.6587448,24.9880419,26.900489800000003,0.9586029052734376,12.916192516922122,0.2919210344552994,0.588213324546814,0.0450709982727908,0,18712020,19595195,117506,0.3587204,110,4.831612278293329e-09,0.967164407242712,0.9679492225011324,-0.081080209599479,25.2208468138021,25.24131252290133,-0.0810802095994896,408.3150876007512,0.0004988715089613,0.3977399979731855,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983256,18,109224464,6826529,20.44994099244113,147.68082856978512,20.416240940246528,147.805819831374,0.1650649220551218,-0.1249912615888888
sphere_n28_f3000_independent_tol1em05_near1_full_pass1_rep1_e2249c08cce0,sphere,28,3000,independent,1e-05,1,full,0,1,1,aca_tolerance,14118,4706,4704,0.2839296776197667,0,True,23.1814051,23.1814051,,23.567062,3.2514363,26.9450494,28.800289199999952,1.0922164916992188,14.19527774838808,0.3454735726118088,0.6823803186416626,0.0628089653041618,0,21742847,23200016,117506,0.3478548,109,2.602278649548637e-09,0.9671646250787008,0.9679492225011324,-0.0810577047011084,25.220852494333837,25.24131252290133,-0.0810577047011133,408.3150142699614,0.000496168373242,0.3977464510913066,12.803272450532724,21,121183360,7573960,12.60578386605784,22,120196400,7512275,14.466030534351145,24,129569664,8109075,20.4497482194189,147.68107787541695,20.416240940246528,147.805819831374,0.1641207079718559,-0.124741955957063
sphere_n28_f3000_joint_tol1em03_near1_full_pass1_rep1_7cc3c0efebb4,sphere,28,3000,joint,0.001,1,full,0,1,1,aca_tolerance,14118,4706,4704,0.2839296776197667,0,True,5.4647071,5.4647071,,5.8939758,2.8192233,8.8418443,10.706253199999992,0.8606147766113281,11.97767695417483,0.2592679113149643,0.5088216364383698,0.0363996057494696,0,5593152,5804431,117506,0.3913818,112,3.1841965584979066e-08,0.9671683627880996,0.9679492225011324,-0.0806715574413153,25.22094996297048,25.24131252290133,-0.0806715574413217,408.3176507293194,0.0005481929514345,0.3972554920137129,8.724124809741248,16,92795600,5799725,8.724124809741248,16,92795600,0,8.724124809741248,16,92795600,0,20.45053284308569,147.67825481062093,20.416240940246528,147.805819831374,0.167963842803019,-0.1275650207530816
sphere_n28_f3000_joint_tol1em04_near1_full_pass1_rep1_2c9d2c30ba9b,sphere,28,3000,joint,0.0001,1,full,0,1,1,scaling;geometry;frequency_anchor;aca_tolerance,14118,4706,4704,0.2839296776197667,0,True,6.2354555,6.2354555,,6.7509022,4.6404409,11.5229325,13.851067200000005,0.989471435546875,10.942068040345651,0.311772421002388,0.5993773937225342,0.0534373644582262,0,6606001,6978937,117506,0.4775844,109,3.375768464705232e-09,0.9671645257070804,0.9679492225011324,-0.0810679709029068,25.220849903009757,25.24131252290133,-0.0810679709029101,408.31497555170114,0.0004965817428789,0.3977921619140229,11.665144596651446,20,111587696,6974231,11.665144596651446,20,111587696,0,11.665144596651446,20,111587696,0,20.449646460612136,147.68117570051743,20.416240940246528,147.805819831374,0.1636222870967212,-0.1246441308565806
sphere_n28_f3000_joint_tol1em05_near1_full_pass1_rep1_ef3068e0de44,sphere,28,3000,joint,1e-05,1,full,0,1,1,aca_tolerance,14118,4706,4704,0.2839296776197667,0,True,8.0109441,8.0109441,,8.4102936,4.6834526,13.2345685,15.711437499999988,1.1249275207519531,10.876890079065056,0.3691814839839935,0.6943179368972778,0.0754515827325031,0,7667893,8293663,117506,0.3606166,108,3.604258946641993e-09,0.967164761378608,0.9679492225011324,-0.0810436233935388,25.220856048640684,25.24131252290133,-0.0810436233935451,408.3150882047523,0.0004958486360619,0.3977194996300317,14.842287029930928,24,132135200,8288957,14.842287029930928,24,132135200,0,14.842287029930928,24,132135200,0,20.449749674480596,147.68100418737444,20.416240940246528,147.805819831374,0.1641278349532465,-0.1248156439995682
sphere_n28_f3000_shared_tol1em03_near1_full_pass1_rep1_74eb4b0d15ce,sphere,28,3000,shared,0.001,1,full,0,1,1,aca_tolerance,14118,4706,4704,0.2839296776197667,0,True,7.4626876,7.4626876,,7.8747365,2.5898578,10.5930217,12.4318068,0.9663658142089844,13.064448260425026,0.2439823895692825,0.6585983335971832,0.5562133721722201,0,7268376,16378087,117506,0.3740886,112,5.988304591324297e-08,0.9671854953846408,0.9679492225011324,-0.0789015682577035,25.22139673147193,25.24131252290133,-0.0789015682577052,408.3261104528061,0.0008196948862027,0.395352668141259,7.525494672754947,14,86026256,5376641,7.369482496194825,14,85629632,5351852,8.353500761035008,13,90318208,5644888,20.45283397827475,147.68612451128226,20.416240940246528,147.805819831374,0.1792349440591014,-0.1196953200917505
sphere_n28_f3000_shared_tol1em04_near1_full_pass1_rep1_b660914a395b,sphere,28,3000,shared,0.0001,1,full,0,1,1,scaling;geometry;frequency_anchor;aca_tolerance;near_field,14118,4706,4704,0.2839296776197667,0,True,8.8223174,8.8223174,,9.2397186,4.1967741,13.6822975,16.468627100000006,1.1349525451660156,11.810711624012676,0.2919210344552994,0.798733651638031,0.5490852221679856,0,8835763,19595195,117506,0.3708164,110,4.831612334961967e-09,0.9671644072427116,0.9679492225011324,-0.0810802095995364,25.220846813802087,25.24131252290133,-0.0810802095995459,408.3150876007503,0.0004988715089613,0.3977399979731575,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983256,18,109224464,6826529,20.44994099244112,147.68082856978504,20.416240940246528,147.805819831374,0.1650649220550522,-0.1249912615889741
sphere_n28_f3000_shared_tol1em05_near1_full_pass1_rep1_30607982f58d,sphere,28,3000,shared,1e-05,1,full,0,1,1,aca_tolerance,14118,4706,4704,0.2839296776197667,0,True,10.0956009,10.0956009,,10.5008415,3.1866586,13.815509,16.701839800000002,1.3078842163085938,13.581000692821874,0.3454735726118088,0.9423060417175292,0.5499316465988644,0,10441593,23200016,117506,0.3673105,109,2.6022786627230096e-09,0.9671646250786988,0.9679492225011324,-0.0810577047013034,25.220852494333784,25.24131252290133,-0.0810577047013104,408.3150142699607,0.0004961683732417,0.3977464510916313,12.803272450532724,21,121183360,7573960,12.60578386605784,22,120196400,7512275,14.466030534351145,24,129569664,8109075,20.449748219418908,147.68107787541683,20.416240940246528,147.805819831374,0.1641207079718907,-0.1247419559571767
