mode,solution_dofs,operator_build_seconds,gmres_seconds,other_wall_seconds,external_wall_seconds,peak_rss_gib,hmatrix_gib,cache_estimated_gib,gmres_iterations
independent,19608,30.7386745,5.7706853,4.107532699999993,40.61689249999999,1.4412689208984375,0.4573061466217041,0.9330849647521972,112
joint,19608,9.6672516,5.8625213,4.663165800000013,20.192938700000013,1.4868278503417969,0.4863423407077789,0.9505153000354768,112
shared,19608,14.7738082,5.946533,6.301446499999977,27.021787699999976,1.8110427856445312,0.4573061466217041,1.2769781351089478,112
