geometry,mesh_directory,nodes,quadrilateral_elements,system_dofs,edge_min_m,edge_mean_m,edge_max_m,radius_min_m,radius_mean_m,radius_max_m
sphere,meshes/sphere_n28,4706,4704,14118,0.0034477636024572334,0.005141634211258801,0.007129235820570122,0.09999999999999998,0.09999999999999999,0.10000000000000003
cube,meshes/cube_n28,4706,4704,14118,0.004123930494211607,0.004123930494211613,0.004123930494211624,0.05773502691896258,0.07398978968369369,0.1
nonconvex,meshes/nonconvex_n28,4706,4704,14118,0.0027730749519967375,0.004704297778964275,0.007407979169620708,0.06199999999999999,0.08800000000000001,0.10200000000000001
near_gap,meshes/near_gap_n28,4706,4704,14118,0.0007137881298776942,0.005265150652254533,0.01167926030078035,0.009999999999999998,0.08916925677283614,0.09999999999999647
