mode,operator_build_mean,operator_build_sd,wall_mean,wall_sd,peak_mean,peak_sd,n
independent,19.9786275,0.1728084735303506,27.013415933333345,0.0978472861570761,0.9591560363769532,0.0005474987687558,3
joint,6.468957133333333,0.236181061554697,14.964680899999967,1.9695735670369747,0.9897244771321616,0.0012759026636996,3
shared,9.448836266666666,0.870495507057287,16.350134966666648,1.4351699568545824,1.1335055033365886,0.0013144736806774,3
