run_id,geometry,subdivisions,frequency_hz,mode,aca_tolerance,near_rings,cache_policy,cache_capacity,build_passes,replicate,suites,solution_dofs,mesh_nodes,mesh_elements,characteristic_kh,return_code,converged,operator_build_seconds,operator_build_pass1_seconds,operator_build_pass2_seconds,assembly_equivalent_seconds,gmres_seconds,internal_total_seconds,external_wall_seconds,peak_rss_gib,average_effective_cores,hmatrix_gib,cache_estimated_gib,cache_hit_rate,cache_evictions,base_evaluations,entry_requests,near_correction_entries,near_correction_seconds,gmres_iterations,gmres_relative_residual,radiation_efficiency,theory_efficiency,efficiency_error_percent,sound_power_w,theory_power_w,power_error_percent,surface_pressure_rms_pa,surface_pressure_relative_l2_error,online_energy_balance_error_percent,V_mean_rank,V_max_rank,V_bytes,V_entry_queries,K_mean_rank,K_max_rank,K_bytes,K_entry_queries,W_mean_rank,W_max_rank,W_bytes,W_entry_queries,field1_abs_pa,field1_phase_deg,field1_theory_abs_pa,field1_theory_phase_deg,field1_amplitude_error_percent,field1_phase_error_deg
sphere_n28_f3000_shared_tol1em04_near0_full_pass1_rep1_c1c140bcdb44,sphere,28,3000,shared,0.0001,0,full,0,1,1,near_field,14118,4706,4704,0.28392967761976673,0,True,8.7429156,8.7429156,,9.090475099999999,2.8564253,12.0508904,14.399044700000001,1.1252708435058594,13.558998110749657,0.2919210344552994,0.7931331992149353,0.5490852221679856,0,8835763,19595195,42338,0.3085411,110,4.7356734785536075e-09,0.9706063296784849,0.9679492225011325,0.27450894278179444,25.310602183052197,25.24131252290133,0.274508942781794,409.7675903495224,0.0036676489000697582,0.464413082655115,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.493112503924557,147.80251356069508,20.416240940246528,147.805819831374,0.3765216324739408,-0.0033062706789337426
sphere_n28_f3000_shared_tol1em04_near1_full_pass1_rep1_b660914a395b,sphere,28,3000,shared,0.0001,1,full,0,1,1,scaling;geometry;frequency_anchor;aca_tolerance;near_field,14118,4706,4704,0.28392967761976673,0,True,8.8223174,8.8223174,,9.2397186,4.1967741,13.6822975,16.468627100000006,1.1349525451660156,11.810711624012677,0.2919210344552994,0.798733651638031,0.5490852221679856,0,8835763,19595195,117506,0.3708164,110,4.831612334961967e-09,0.9671644072427115,0.9679492225011325,-0.0810802095995364,25.220846813802087,25.24131252290133,-0.08108020959954593,408.3150876007503,0.0004988715089613505,0.3977399979731575,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.449940992441118,147.68082856978504,20.416240940246528,147.805819831374,0.16506492205505227,-0.12499126158897411
sphere_n28_f3000_shared_tol1em04_near1_full_pass1_rep2_3568dd3d5501,sphere,28,3000,shared,0.0001,1,full,0,1,2,timing_repeat,14118,4706,4704,0.28392967761976673,0,True,10.4428071,10.4428071,,10.9632759,4.2605144,15.3669411,17.722385499999973,1.13238525390625,10.774250992153421,0.2919210344552994,0.798733651638031,0.5490852221679856,0,8835763,19595195,117506,0.474613,110,4.831611725813438e-09,0.9671644072427162,0.9679492225011325,-0.08108020959904319,25.22084681380221,25.24131252290133,-0.0810802095990533,408.3150876007532,0.0004988715089613671,0.3977399979729443,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.44994099244112,147.68082856978538,20.416240940246528,147.805819831374,0.16506492205506967,-0.12499126158863305
sphere_n28_f3000_shared_tol1em04_near1_full_pass1_rep3_8e73a34529de,sphere,28,3000,shared,0.0001,1,full,0,1,3,timing_repeat,14118,4706,4704,0.28392967761976673,0,True,9.0813843,9.0813843,,9.468841099999999,2.8639359,12.4604515,14.859392299999968,1.1331787109375,13.059747196929568,0.2919210344552994,0.798733651638031,0.5490852221679856,0,8835763,19595195,117506,0.3479458,110,4.831612088799926e-09,0.9671644072427122,0.9679492225011325,-0.08108020959945611,25.22084681380211,25.24131252290133,-0.08108020959946148,408.3150876007514,0.0004988715089617376,0.3977399979729741,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.44994099244111,147.68082856978523,20.416240940246528,147.805819831374,0.16506492205501747,-0.12499126158877516
sphere_n28_f3000_shared_tol1em04_near1_full_pass2_rep1_4187e3e6cfe9,sphere,28,3000,shared,0.0001,1,full,0,2,1,cold_hot_cache,14118,4706,4704,0.28392967761976673,0,True,2.0610319,9.1409194,2.0610319,2.4497774000000003,2.9759113,14.9654053,17.403515999999996,1.1369438171386719,13.234422347932474,0.2919210344552994,0.798733651638031,0.7745155348060276,0,8835763,39185684,117506,0.3507179,110,4.831612407711739e-09,0.9671644072427142,0.9679492225011325,-0.08108020959924965,25.22084681380216,25.24131252290133,-0.08108020959925034,408.3150876007516,0.0004988715089595907,0.3977399979735085,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.449940992441213,147.680828569785,20.416240940246528,147.805819831374,0.16506492205552212,-0.12499126158900253
sphere_n28_f3000_shared_tol1em04_near1_lru1000000_pass1_rep1_eaa30038bed3,sphere,28,3000,shared,0.0001,1,lru,1000000,1,1,cache_capacity,14118,4706,4704,0.28392967761976673,0,True,18.5133311,18.5133311,,18.9296588,2.8731238,21.9311434,22.68318400000001,0.505157470703125,16.270613792525758,0.2919210344552994,0.12799325585365295,0.04489090310150014,17715305,18715549,19595195,117506,0.3294304,110,4.831611497161261e-09,0.9671644072427179,0.9679492225011325,-0.08108020959887115,25.220846813802257,25.24131252290133,-0.08108020959887033,408.31508760075377,0.0004988715089614276,0.3977399979726759,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.449940992441128,147.6808285697855,20.416240940246528,147.805819831374,0.16506492205510448,-0.12499126158851936
sphere_n28_f3000_shared_tol1em04_near1_lru1000000_pass2_rep1_37d2a9f4f34c,sphere,28,3000,shared,0.0001,1,lru,1000000,2,1,cold_hot_cache,14118,4706,4704,0.28392967761976673,0,True,18.2915443,18.2576198,18.2915443,18.712113600000002,2.8556134,40.0566941,40.78968800000001,0.5053749084472656,17.49497096882428,0.2919210344552994,0.12799325585365295,0.044866257789451885,36427325,37427569,39185684,117506,0.3408184,110,4.831612159954582e-09,0.9671644072427142,0.9679492225011325,-0.08108020959924965,25.22084681380216,25.24131252290133,-0.08108020959925034,408.31508760075207,0.0004988715089603085,0.3977399979733254,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.449940992441174,147.68082856978518,20.416240940246528,147.805819831374,0.1650649220553307,-0.124991261588832
sphere_n28_f3000_shared_tol1em04_near1_lru2000000_pass1_rep1_a502b5468244,sphere,28,3000,shared,0.0001,1,lru,2000000,1,1,cache_capacity,14118,4706,4704,0.28392967761976673,0,True,18.1896466,18.1896466,,18.6246923,2.8711758,21.6225248,22.70467330000001,0.6196365356445312,16.462624069820894,0.2919210344552994,0.24720099568367004,0.04493336249014108,16714486,18714717,19595195,117506,0.363124,110,4.831612620029627e-09,0.9671644072427115,0.9679492225011325,-0.0810802095995364,25.220846813802087,25.24131252290133,-0.08108020959954593,408.3150876007502,0.000498871508960526,0.39773999797338294,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.449940992441146,147.68082856978498,20.416240940246528,147.805819831374,0.1650649220551915,-0.12499126158903096
sphere_n28_f3000_shared_tol1em04_near1_lru250000_pass1_rep1_c9f5e8aaad6b,sphere,28,3000,shared,0.0001,1,lru,250000,1,1,cache_capacity,14118,4706,4704,0.28392967761976673,0,True,17.8683616,17.8683616,,18.2883446,2.8552613,21.2708123,21.697778899999996,0.423614501953125,16.711103514327917,0.2919210344552994,0.038564473390579224,0.04485431249854875,18466205,18716266,19595195,117506,0.3331417,110,4.831612205002857e-09,0.9671644072427139,0.9679492225011325,-0.08108020959928405,25.22084681380215,25.24131252290133,-0.08108020959929257,408.3150876007515,0.0004988715089607931,0.39773999797314247,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.44994099244116,147.68082856978518,20.416240940246528,147.805819831374,0.16506492205526108,-0.124991261588832
sphere_n28_f3000_shared_tol1em04_near2_full_pass1_rep1_5b62a8ff8e87,sphere,28,3000,shared,0.0001,2,full,0,1,1,near_field,14118,4706,4704,0.28392967761976673,0,True,8.7079507,8.7079507,,9.2916512,2.9019759,12.3569076,14.628101000000001,1.1434783935546875,13.188374287469026,0.2919210344552994,0.8071164488792419,0.5490852221679856,0,8835763,19595195,230018,0.5471327,110,4.834166022049335e-09,0.9671296627763375,0.9679492225011325,-0.08466970226777704,25.219940778739712,25.24131252290133,-0.08466970226777708,408.3004750206742,0.0004979610907816488,0.3971128520878518,9.94558599695586,18,102421216,6401326,9.835616438356164,17,101802144,6362634,11.298325722983257,18,109224464,6826529,20.449511140173833,147.67966577412255,20.416240940246528,147.805819831374,0.16295947929238683,-0.1261540572514548
