node,x,y,z,shared_abs_p_pa,joint_abs_p_pa,complex_difference_percent_of_max
0,0.046362379244242635,-0.046362379244242635,-0.046362379244242635,406.5913395586115,406.5811008957144,0.0038877660247514517
1,0.04679116133180972,-0.04679116133180972,-0.04344893552239475,414.6175719725869,414.6130826510075,0.0007552051869300916
2,0.047161676732349604,-0.047161676732349604,-0.04042429434201395,423.5438086276704,423.50068877061426,0.007148364501868467
3,0.04747073074591992,-0.04747073074591992,-0.03729843130036565,434.0527394934741,434.0057501134767,0.008696669439261132
4,0.04771691773552167,-0.04771691773552167,-0.03408351266822976,445.8171918243961,445.77696684223554,0.008545025582691485
5,0.047901025202426,-0.047901025202426,-0.03079351620155957,458.62204042268576,458.5862710425495,0.009239198572386552
6,0.048026337508157595,-0.048026337508157595,-0.02744362143323291,472.05704905726435,472.02865310412756,0.009411554943541248
7,0.04809876543209877,-0.04809876543209877,-0.024049382716049384,485.6502909503633,485.63101973398875,0.010512872574535485
8,0.048126728904864406,-0.048126728904864406,-0.020625740959227604,498.86909854643693,498.86023741619636,0.010227496664351302
9,0.048120737882941675,-0.048120737882941675,-0.017185977815336314,511.1619635470703,511.16742207255373,0.008507178898835066
10,0.0480926533660282,-0.0480926533660282,-0.01374075810457949,522.0183468522416,522.0310454784615,0.006949934978926636
11,0.04805466496257097,-0.04805466496257097,-0.010297428206265209,530.9702401380472,530.9882563818425,0.00529852116919774
12,0.048018084397608636,-0.048018084397608636,-0.006859726342515522,537.6530034005458,537.6642109090116,0.00348255109641232
13,0.04799211083919882,-0.04799211083919882,-0.003428007917085634,541.7471104086159,541.7797998775992,0.005626889617306626
14,0.04798275605729689,-0.04798275605729689,0.0,543.2478300371163,543.1865463464044,0.012616146898613555
15,0.04799211083919882,-0.04799211083919882,0.0034280079170856286,541.7189218443731,541.7725402437616,0.008815274396035916
16,0.04801808439760862,-0.04801808439760862,0.006859726342515515,537.6552716150152,537.664066533002,0.0027729988125830577
17,0.048054664962570985,-0.048054664962570985,0.010297428206265205,530.9795424373846,530.9882475705012,0.002606069852591068
18,0.0480926533660282,-0.0480926533660282,0.013740758104579481,522.0319052096544,522.0313270868328,0.002300923222400208
19,0.04812073788294166,-0.04812073788294166,0.0171859778153363,511.17153413473443,511.1669529852848,0.002469800675187359
20,0.048126728904864406,-0.048126728904864406,0.020625740959227593,498.86512483662693,498.85986830932103,0.001178074814908595
21,0.04809876543209877,-0.04809876543209877,0.024049382716049384,485.6376886476845,485.6281331451169,0.004026976786698832
22,0.048026337508157595,-0.048026337508157595,0.02744362143323291,472.03192190663333,472.0240909305428,0.003274833369560063
23,0.047901025202426006,-0.047901025202426006,0.03079351620155957,458.5896740821559,458.5804245233233,0.003052595018373688
24,0.04771691773552167,-0.04771691773552167,0.03408351266822976,445.7747737194225,445.77019477420157,0.001255896795471656
25,0.04747073074591992,-0.04747073074591992,0.03729843130036565,434.0081459763827,433.99839851813385,0.0018582302585840385
26,0.047161676732349604,-0.047161676732349604,0.04042429434201394,423.51965226628346,423.4913582913602,0.004730350748414249
27,0.046791161331809716,-0.046791161331809716,0.04344893552239472,414.58717086830836,414.623909068704,0.008217158946436721
28,0.046362379244242635,-0.046362379244242635,0.046362379244242635,406.5666667656935,406.5874832360127,0.0037043476522643855
29,0.04831211393425413,-0.04486124865323598,-0.04831211393425413,397.1223941776966,397.10602074129355,0.006639315275382705
30,0.04885478630529234,-0.04536515871205717,-0.04536515871205717,402.8517193540891,402.87775153584386,0.006523246507710915
31,0.04933864471611363,-0.045814455807819794,-0.04229026689952597,409.95370149527196,409.8350042992631,0.019755615833513502
32,0.049758839226897576,-0.04620463642497632,-0.03909623082113381,418.356571019728,418.3331071145561,0.004186045660602483
33,0.050112189913816586,-0.04653274777711541,-0.03579442136701185,428.3484930751613,428.29443549586625,0.010329396273794856
34,0.05039767885272189,-0.04679784464895604,-0.03239850783389264,439.5478332273391,439.5077636773133,0.009439388042518712
35,0.05061686116371635,-0.04700137108059376,-0.028923920664980778,451.6824564574389,451.64790207276815,0.01035751691829395
36,0.050774109308937374,-0.04714738721544185,-0.025387054654468687,464.2898069998485,464.26834701977657,0.01006015817755544
37,0.050876600111109734,-0.04724255724603047,-0.021804257190475605,476.85438983236895,476.8363103961231,0.01214061350270159
38,0.050933968344147686,-0.04729582774813714,-0.01819070298005275,488.76727142811575,488.77173774589164,0.009265991000515271
39,0.05095758960364849,-0.047317761774816454,-0.014559311315328144,499.4772101833791,499.4914740928478,0.007736591215742643
40,0.050959517997807464,-0.0473195524265355,-0.010919896713815887,508.4365353214557,508.4573183512002,0.00574415553712547
41,0.05095118162393202,-0.04731181150793688,-0.007278740231990291,515.1904759525481,515.2130522377739,0.004548427657416419
42,0.05094201223084485,-0.047303297071498794,-0.003638715159346065,519.3934172322237,519.4107654676037,0.0030410156426629188
43,0.05093823125987558,-0.04729978616988447,0.0,520.8246619420506,520.8448929147849,0.007565370258225331
44,0.05094201223084485,-0.047303297071498794,0.0036387151593460596,519.3792123928918,519.4023216594438,0.0037955821187752427
45,0.05095118162393202,-0.04731181150793688,0.007278740231990285,515.203993806036,515.2124496898334,0.00203614543627965
46,0.050959517997807464,-0.0473195524265355,0.010919896713815882,508.45630770108806,508.45736774843715,0.0014171520724741435
47,0.05095758960364849,-0.047317761774816454,0.014559311315328132,499.4964797505651,499.49229006007806,0.0019242529778607017
48,0.050933968344147686,-0.04729582774813714,0.018190702980052736,488.77838546602635,488.77179249085333,0.002173724078322647
49,0.05087660011110975,-0.04724255724603048,0.021804257190475594,476.8365947616293,476.8364470515865,0.001733625131522708
50,0.050774109308937374,-0.04714738721544185,0.025387054654468687,464.27456925007453,464.26406803874727,0.002084943513169268
51,0.05061686116371635,-0.04700137108059376,0.028923920664980778,451.6479364703681,451.64169620489895,0.0016884702180426903
52,0.05039767885272189,-0.04679784464895604,0.03239850783389264,439.50486094677086,439.5006039793815,0.0009329870719336523
53,0.0501121899138166,-0.04653274777711541,0.03579442136701185,428.29790166010974,428.28394465645573,0.0022885036583404597
54,0.049758839226897576,-0.04620463642497632,0.0390962308211338,418.32689413562434,418.33234084502936,0.0011858431211236634
55,0.04933864471611363,-0.045814455807819794,0.042290266899525954,409.879627362508,409.8016291772863,0.013335439989771764
56,0.04885478630529234,-0.04536515871205717,0.045365158712057166,402.8379268855348,402.8956310117071,0.010481781943027334
57,0.04831211393425413,-0.04486124865323598,0.04831211393425413,397.0906933668649,397.11314695038556,0.003981998763707699
58,0.05034619560329918,-0.04315388194568501,-0.05034619560329918,388.25079011715405,388.25506260589674,0.0073396006885411685
59,0.051022035156075445,-0.04373317299092181,-0.04737760407349863,391.95472923297086,391.93907749329475,0.005924260173492171
60,0.051640598319786894,-0.04426336998838877,-0.04426336998838877,396.4677412893586,396.53441051011026,0.01212606549920678
61,0.052195209203099814,-0.04473875074551413,-0.04101052151672128,402.87420526585885,402.743778211043,0.02202362308666788
62,0.05268061036793335,-0.04515480888680001,-0.03762900740566667,410.39007261385865,410.35911023604365,0.006383834064399045
63,0.053093529616670514,-0.04550873967143187,-0.0341315547535739,419.44088717325184,419.3974552013031,0.009961320608180902
64,0.05343319659945516,-0.04579988279953301,-0.030533255199688664,429.6177931802051,429.58880760929577,0.009501896973781626
65,0.05370171499770811,-0.046030041426606945,-0.026850857498854054,440.58697758409164,440.56688717722614,0.009978272701639304
66,0.05390418364532946,-0.046203585981710975,-0.023101792990855487,451.84078523503206,451.8339563793718,0.009682582174876232
67,0.05404846830997592,-0.046327258551407936,-0.019303024396419975,462.8031101603145,462.8057563000396,0.009259152964423504
68,0.05414456338881457,-0.04640962576184106,-0.015469875253947024,472.8523914438572,472.8683609413347,0.007282801451161525
69,0.0542035515196853,-0.04646018701687312,-0.01161504675421828,481.39992699700855,481.42337583528086,0.005585240927595316
70,0.05423626005166068,-0.04648822290142344,-0.007748037150237242,487.92409356961065,487.95008908510613,0.004691984020272922
71,0.05425180477171048,-0.046501546947180415,-0.003875128912265039,492.0091735612026,492.0342242421736,0.004119488970781919
72,0.054256273227864346,-0.04650537705245516,0.0,493.4363311919465,493.44837830151687,0.006580849697212193
73,0.05425180477171048,-0.046501546947180415,0.0038751289122650333,492.01726934960413,492.0257455938486,0.0023498166851486403
74,0.05423626005166068,-0.04648822290142344,0.007748037150237236,487.95123018866525,487.94905846853334,0.0005935648950205957
75,0.0542035515196853,-0.04646018701687312,0.011615046754218273,481.4310345413425,481.4227698276699,0.0015887227271726152
76,0.05414456338881457,-0.04640962576184106,0.015469875253947012,472.8791808545549,472.86816427491243,0.0018723742426947953
77,0.05404846830997592,-0.046327258551407936,0.019303024396419965,462.8165837381529,462.8046132090617,0.0020066121424150577
78,0.05390418364532946,-0.046203585981710975,0.023101792990855474,451.8341078688737,451.8325740626889,0.0006740451345995633
79,0.05370171499770811,-0.046030041426606945,0.026850857498854054,440.57319110205634,440.5615796645227,0.0019127951144411323
80,0.05343319659945516,-0.04579988279953301,0.030533255199688664,429.58725485293445,429.58288891735606,0.0009487927681145711
81,0.053093529616670514,-0.04550873967143187,0.0341315547535739,419.396086153462,419.3887740751186,0.0017601701372117384
82,0.05268061036793334,-0.045154808886800006,0.037629007405666666,410.3501871642644,410.3554770166838,0.001178214731926538
83,0.052195209203099814,-0.04473875074551413,0.04101052151672127,402.76696963257336,402.7136844500197,0.009828469944744867
84,0.05164059831978691,-0.044263369988388784,0.04426336998838877,396.48341473216647,396.55932784418417,0.013334301530302347
85,0.051022035156075445,-0.04373317299092182,0.04737760407349862,391.92645307685103,391.9423652636374,0.002612817770785787
86,0.05034619560329918,-0.04315388194568501,0.05034619560329918,388.23532011398845,388.2643785705577,0.00498340045029589
87,0.0524488079984833,-0.041209777713094024,-0.0524488079984833,381.4600470468548,381.4610376969427,0.006717652946374484
88,0.053277701745138135,-0.041861051371179965,-0.04947215162048541,382.87587446992416,382.8882796590788,0.006959840863105257
89,0.054053498019586525,-0.04247060558681798,-0.04633156973107417,385.05587832698853,385.03924949443245,0.00509255362225934
90,0.05476760801997851,-0.04303169201569739,-0.04303169201569739,388.4434452025942,388.50386555291834,0.010740426872796896
91,0.0554124522610272,-0.04353835534794994,-0.03958032304359086,393.41800433827785,393.3452770544341,0.01250825169438493
92,0.055982073009112725,-0.043985914507159996,-0.03598847550585819,399.5890473681821,399.5540786571449,0.0072889268158823715
93,0.056472738306094256,-0.04437143724050263,-0.032270136174911,407.07716435216406,407.04498370017836,0.008776435694016768
94,0.05688344154925986,-0.04469413264584703,-0.02844172077462993,415.5743433546929,415.5518216906367,0.00874999006520573
95,0.05721617950060769,-0.04495556960762033,-0.024521219785974727,424.6853758705899,424.671038417001,0.008621831696202476
96,0.05747589112226939,-0.04515962873892595,-0.020527103972239072,433.8788881841991,433.87813932716574,0.007946491488047755
97,0.05766997149369245,-0.04531212045932978,-0.016477134712483563,442.5540282774621,442.5666244850277,0.006527670851875977
98,0.057807344787390254,-0.04542005661866377,-0.012387288168726484,450.1016771440041,450.12394261144493,0.005268731273884752
99,0.057897180617276514,-0.0454906419135744,-0.008271025802468076,455.95618638003475,455.982386142069,0.0044762353387197635
100,0.0579474455101499,-0.04553013575797492,-0.004139103250724997,459.6759296232007,459.7038739000589,0.004637853541093147
101,0.05796355990301393,-0.0455427970666538,0.0,460.94007131801044,460.946585008511,0.0013485732887972347
102,0.0579474455101499,-0.04553013575797492,0.004139103250724991,459.6936509566917,459.6972346646134,0.0011121314346715235
103,0.057897180617276514,-0.0454906419135744,0.008271025802468069,455.9905201136682,455.98200759778894,0.0023024341229342456
104,0.057807344787390254,-0.04542005661866377,0.012387288168726477,450.1375254938776,450.12407543692194,0.002947378517861855
105,0.05766997149369245,-0.04531212045932978,0.01647713471248355,442.5824286594002,442.5669352108507,0.0032970080310732552
106,0.0574758911222694,-0.045159628738925955,0.02052710397223906,433.8892275963812,433.8781692830544,0.0027533128371410023
107,0.05721617950060769,-0.04495556960762033,0.024521219785974713,424.6810110460265,424.6694381266916,0.003070519141497669
108,0.05688344154925986,-0.04469413264584703,0.02844172077462993,415.55167234443655,415.5492491841323,0.001999256328098484
109,0.056472738306094256,-0.04437143724050263,0.032270136174911,407.04191138237104,407.03949201752215,0.0023439956034609476
110,0.05598207300911273,-0.04398591450716,0.03598847550585819,399.54697708584445,399.5489011614449,0.002336375826231136
111,0.0554124522610272,-0.04353835534794994,0.039580323043590854,393.3466787865482,393.3315497823404,0.004415607637205393
112,0.05476760801997851,-0.04303169201569739,0.04303169201569739,388.45780009612986,388.5185884283106,0.01029492866812226
113,0.05405349801958652,-0.04247060558681797,0.04633156973107414,385.02852326065613,385.04101392803403,0.0024717085282087597
114,0.053277701745138135,-0.041861051371179965,0.049472151620485405,382.86715651626685,382.8967567655019,0.0049517591953871995
115,0.0524488079984833,-0.041209777713094024,0.0524488079984833,381.4472000056781,381.4704237658615,0.004030932640479633
116,0.05459759606160945,-0.0389982829011496,-0.05459759606160945,377.00956529811054,377.0215048327044,0.0074305555623651485
117,0.055599031741800024,-0.039713594101285735,-0.051627672331671454,376.358138377136,376.36482767182673,0.005727703893509944
118,0.05655470050311007,-0.040396214645078615,-0.04847545757409434,376.1070004324062,376.1126382312735,0.005227205142395091
119,0.05745413228689115,-0.04103866591920796,-0.045142532511128756,376.78785157508867,376.81991993709255,0.005937167350260968
120,0.058287283468938515,-0.041633773906384654,-0.041633773906384654,378.7039450280647,378.596383947783,0.017639649510118954
121,0.05904514645507788,-0.04217510461076991,-0.03795759414969292,381.56350982828565,381.5403569088761,0.004472978695497698
122,0.05972040087180171,-0.04265742919414407,-0.03412594335531526,385.73916647990256,385.7017372826294,0.007355828485106382
123,0.06030801862654157,-0.04307715616181541,-0.030154009313270783,390.9751185112497,390.96202342281794,0.007267688385053661
124,0.06080570594517961,-0.04343264710369972,-0.026059588262219834,397.07517585082724,397.05865641963055,0.008688680027934765
125,0.061214054234701214,-0.04372432445335801,-0.021862162226679006,403.5826521320207,403.5906072057387,0.007682898959435065
126,0.0615362927323898,-0.04395449480884986,-0.01758179792353995,410.03595209177973,410.0458478862509,0.00642069818693796
127,0.061777598826830336,-0.04412685630487881,-0.013238056891463644,415.83769965423363,415.85688412285424,0.0049325885366048525
128,0.06194402281563898,-0.04424573058259928,-0.008849146116519857,420.4563524512681,420.47897231593106,0.00414608392747203
129,0.062041199815209835,-0.044315142725149886,-0.004431514272514993,423.4347393408271,423.45095592746367,0.0027029601788032317
130,0.0620731132291641,-0.0443379380208315,0.0,424.481752334442,424.49248211322083,0.004530530102046693
131,0.06204119981520983,-0.04431514272514987,0.0044315142725149855,423.46192706253663,423.4478212287895,0.0032567831160881817
132,0.06194402281563898,-0.04424573058259928,0.00884914611651985,420.48921966293733,420.4780846269205,0.003001359738225627
133,0.061777598826830336,-0.04412685630487881,0.013238056891463637,415.8693524304632,415.8542659299287,0.003731755621150873
134,0.06153629273238981,-0.04395449480884987,0.01758179792353994,410.0564500834277,410.04096939774547,0.003556612924183881
135,0.061214054234701214,-0.04372432445335801,0.021862162226678993,403.59780370053886,403.5839523250557,0.002642213864966192
136,0.06080570594517962,-0.04343264710369973,0.026059588262219824,397.0631979126704,397.0508069918431,0.0028015897032968363
137,0.06030801862654157,-0.04307715616181541,0.030154009313270783,390.9629358602675,390.95376500674837,0.002939876223887787
138,0.05972040087180171,-0.04265742919414407,0.03412594335531526,385.7008411975814,385.69518280278817,0.0038011226710699445
139,0.059045146455077885,-0.04217510461076992,0.03795759414969292,381.5284347496964,381.5388515049727,0.0032772822767792175
140,0.058287283468938515,-0.041633773906384654,0.04163377390638464,378.58600194973747,378.5783399063659,0.003361607674732366
141,0.05745413228689114,-0.041038665919207955,0.04514253251112874,376.7953339359829,376.826399034605,0.005113181716798089
142,0.056554700503110074,-0.04039621464507862,0.04847545757409434,376.0941372653714,376.11859058277963,0.0040078425962163985
143,0.055599031741800024,-0.039713594101285735,0.05162767233167144,376.35396780928215,376.3760331261025,0.003784898650838515
144,0.05459759606160945,-0.0389982829011496,0.05459759606160945,377.0018764997144,377.0172694281704,0.002594160309145127
145,0.05676296692966564,-0.03649047874049934,-0.05676296692966564,375.2301630668765,375.22761086397577,0.0031189202179864504
146,0.057954680597826186,-0.03725658038431683,-0.05381506055512431,372.89403531621855,372.9137869707184,0.0065183288385154544
147,0.05911148418236002,-0.03800023983151716,-0.050666986442022874,370.5821028423498,370.5924807261022,0.0040446202698560625
148,0.06022120439733562,-0.03871363139828719,-0.04731666059790656,368.7973623349976,368.7970948162564,0.0029673985567274927
149,0.061271336351389545,-0.03938871622589328,-0.043765240250992536,367.55323846976336,367.61669247115645,0.010410479194453886
150,0.062249581542169544,-0.04001758813425185,-0.04001758813425185,367.31848723403346,367.25163740112293,0.011039767192956138
151,0.0631444799123022,-0.040592879943622845,-0.036082559949886975,367.82163179808197,367.80212866352167,0.004879709344991044
152,0.06394606979077294,-0.04110818772263976,-0.03197303489538647,369.36123221466664,369.3055543935109,0.009362104724140672
153,0.0646464755988961,-0.041558448599290344,-0.0277056323995269,371.7238797334638,371.69405043841704,0.005770941446802498
154,0.06524030138969923,-0.04194019375052094,-0.0233001076391783,374.76783520514334,374.7467604920979,0.004980492385737829
155,0.06572471396834476,-0.042251601836793065,-0.018778489705241364,378.13180568986604,378.1284526667535,0.0038819519925645547
156,0.06609914504281424,-0.04249230752752344,-0.01416410250917448,381.40863026282017,381.4188658396958,0.003971193803902494
157,0.0663646283728635,-0.04266297538255511,-0.00948066119612336,384.15666369065184,384.17450938960206,0.0038287297710037343
158,0.06652289668808888,-0.0427647192994857,-0.004751635477720639,385.9796340419091,386.0110367719656,0.005408245571526612
159,0.0665754568083481,-0.042798507948223784,0.0,386.6534017219193,386.6414178934498,0.002682611933890563
160,0.06652289668808888,-0.0427647192994857,0.004751635477720632,386.0247359406496,386.00848198594167,0.0027510938442340824
161,0.0663646283728635,-0.04266297538255511,0.009480661196123353,384.2023704114484,384.1770554704006,0.004146685827988266
162,0.06609914504281424,-0.04249230752752344,0.014164102509174473,381.44741985612893,381.42522555854333,0.0038223691290705224
163,0.06572471396834477,-0.04225160183679307,0.018778489705241354,378.1524446227542,378.13850580483364,0.003588869262803454
