method,mode,assembly_seconds,solve_seconds,external_wall_seconds,peak_rss_gib,efficiency_error_percent,surface_pressure_relative_l2_error_percent,field_amplitude_error_percent,field_phase_error_deg,solution_dofs
Independent ACA,independent,31.378650899999997,5.7706853,40.61689249999999,1.4412689208984375,-0.06138742434549516,0.03732801737353567,0.1150833522608659,-0.09133232768337507,19608
"Shared entries, independent ACA",shared,15.335715899999999,5.946533,27.021787699999976,1.8110427856445312,-0.06138742434531165,0.03732801737359801,0.11508335226077888,-0.09133232768317612,19608
Common-pivot joint ACA,joint,10.318626,5.8625213,20.192938700000013,1.4868278503417969,-0.061528440299836534,0.0368362635225048,0.11520601467853248,-0.09114196479541192,19608
COMSOL 6.4,COMSOL 6.4,53.19084249999999,3.6824392999999986,79.1749021,4.029449462890625,-0.040973371294263185,0.046950383300729745,0.152484424804612,-0.08600081803814419,19608
